"","subID","gender","age","handedness","english","compType","VisualWM","rtUnder500","rtOver10000","DigitSpan","reloaded","Vocabulary","DigitSymbolCoding"
"2138","36-160","M",19,"right",1,"laptop",40,0,0,4,1,10,46
"2139","36-1600","F",15,"right",1,"desktop",34,0,0,7,1,6,52
"2140","36-16005","F",24,"right",1,"laptop",36,0,0,7,1,15,53
"2141","36-16006","F",41,"right",1,"desktop",32,0,0,7,1,15,49
"2142","36-16007","F",55,"right",1,"desktop",31,0,0,6,1,18,41
"2143","36-16011","M",13,"right",1,"desktop",30,0,2,5,1,7,39
"2144","36-16014","F",32,"right",1,"desktop",36,0,0,8,1,15,48
"2145","36-16017","M",27,"left",1,"laptop",35,0,0,7,1,20,55
"2146","36-16018","F",50,"right",1,"laptop",29,0,0,4,1,10,34
"2147","36-16019","F",53,"right",1,"desktop",25,0,0,4,1,9,30
"2148","36-16021","F",61,"right",1,"laptop",34,0,0,6,1,19,42
"2149","36-16028","M",65,"right",0,"desktop",31,0,0,8,1,12,40
"2150","36-1603","F",23,"right",1,"desktop",30,0,1,4,1,17,44
"2151","36-16035","F",21,"right",1,"laptop",35,0,0,6,1,9,50
"2152","36-16037","M",26,"right",1,"laptop",36,0,0,8,1,14,50
"2153","36-16042","M",22,"right",1,"desktop",31,0,0,8,1,11,52
"2154","36-16043","F",38,"right",1,"desktop",32,0,0,7,1,18,56
"2155","36-1605","F",19,"right",1,"laptop",32,0,0,6,1,10,36
"2156","36-16052","F",43,"right",1,"desktop",34,0,0,6,1,14,37
"2157","36-16054","M",48,"right",1,"laptop",31,0,0,5,1,15,38
"2158","36-16055","F",22,"left",1,"laptop",42,0,0,5,1,10,47
"2159","36-16059","F",47,"right",1,"desktop",37,0,0,5,1,9,37
"2160","36-1606","F",39,"right",1,"desktop",36,0,0,5,1,18,46
"2161","36-16062","F",25,"right",1,"laptop",34,0,0,7,1,13,47
"2162","36-16065","F",36,"right",1,"desktop",30,0,0,6,1,13,48
"2163","36-16066","F",30,"right",1,"laptop",34,0,0,10,1,17,51
"2164","36-16069","F",48,"right",1,"laptop",32,1,0,7,1,20,78
"2165","36-1607","F",16,"right",1,"desktop",29,0,0,6,1,11,45
"2166","36-16074","F",19,"right",1,"laptop",36,0,0,5,1,14,52
"2167","36-16075","M",20,"right",1,"desktop",38,0,0,7,1,9,57
"2168","36-16076","F",18,"right",1,"desktop",36,0,0,8,1,9,47
"2169","36-16078","M",25,"right",1,"laptop",36,1,0,9,1,15,66
"2170","36-16079","M",44,"right",1,"laptop",26,0,0,4,1,14,41
"2171","36-1608","F",23,"right",0,"laptop",36,0,0,6,1,9,65
"2172","36-16084","F",19,"left",1,"laptop",30,1,0,4,1,8,49
"2173","36-16085","M",24,"right",1,"laptop",32,1,0,6,1,15,41
"2174","36-16093","M",23,"left",1,"laptop",37,0,0,7,1,18,59
"2175","36-16097","F",24,"right",1,"laptop",30,0,0,4,1,9,46
"2176","36-16098","M",13,"left",1,"desktop",37,0,0,7,1,10,44
"2177","36-161","M",55,"right",1,"laptop",35,0,0,7,1,17,44
"2178","36-16100","M",20,"right",1,"laptop",34,0,0,2,1,11,58
"2179","36-16102","M",29,"right",1,"laptop",32,0,0,7,1,17,49
"2180","36-16107","M",19,"both",0,"desktop",36,0,0,6,1,13,49
"2181","36-16109","F",46,"right",1,"laptop",31,0,0,5,1,16,42
"2182","36-16115","M",18,"right",1,"desktop",36,0,0,8,1,12,43
"2183","36-16119","F",29,"right",1,"laptop",38,0,0,7,1,14,50
"2184","36-1612","M",25,"right",1,"desktop",30,0,0,6,1,12,50
"2185","36-16120","M",15,"left",1,"laptop",33,0,0,7,1,11,64
"2186","36-16124","M",22,"right",1,"laptop",31,0,0,4,1,12,34
"2187","36-16125","F",74,"right",1,"desktop",36,0,0,9,1,20,44
"2188","36-16127","F",18,"right",0,"laptop",36,0,0,5,1,11,54
"2189","36-16129","M",35,"right",1,"desktop",29,0,0,8,1,7,63
"2190","36-16130","F",17,"right",1,"laptop",33,0,0,5,1,16,46
"2191","36-16132","F",28,"right",1,"laptop",41,0,0,8,1,15,51
"2192","36-16133","M",40,"both",1,"laptop",39,0,0,8,1,18,59
"2193","36-16141","F",40,"right",1,"laptop",36,0,0,8,1,18,52
"2194","36-16144","F",49,"right",1,"desktop",37,0,0,6,1,17,42
"2195","36-16149","F",26,"right",1,"desktop",30,1,0,8,1,14,44
"2196","36-1615","F",16,"left",1,"laptop",38,0,0,7,1,10,52
"2197","36-16151","F",46,"right",1,"laptop",32,0,1,5,1,13,35
"2198","36-16157","M",61,"right",1,"laptop",35,0,0,5,1,16,29
"2199","36-16158","F",25,"right",0,"laptop",33,0,0,7,1,5,44
"2200","36-16163","F",60,"right",1,"desktop",35,0,0,7,1,19,31
"2201","36-16168","F",40,"right",1,"desktop",35,0,0,7,1,11,53
"2202","36-16171","F",28,"right",1,"desktop",34,0,0,3,1,13,45
"2203","36-16173","F",11,"right",1,"desktop",38,0,0,7,1,7,51
"2204","36-16174","F",8,"right",1,"laptop",34,0,0,4,1,5,31
"2205","36-16175","M",33,"right",0,"desktop",27,0,0,4,1,7,39
"2206","36-16178","F",34,"right",1,"desktop",28,0,0,7,1,4,38
"2207","36-16179","F",40,"right",1,"laptop",32,0,0,6,1,16,44
"2208","36-16180","M",29,"right",0,"desktop",36,0,2,7,1,14,55
"2209","36-16188","F",43,"right",1,"desktop",37,0,0,8,1,17,52
"2210","36-16191","F",60,"right",1,"desktop",24,0,0,6,1,19,27
"2211","36-16193","F",47,"right",1,"desktop",36,0,0,8,1,13,49
"2212","36-16195","F",27,"right",1,"desktop",36,0,0,7,1,10,58
"2213","36-16197","F",51,"right",1,"desktop",39,0,0,7,1,15,46
"2214","36-16198","F",49,"right",1,"desktop",35,0,0,9,1,16,46
"2215","36-1620","M",27,"right",1,"desktop",31,0,0,7,1,12,49
"2216","36-16204","F",58,"right",1,"desktop",29,0,0,6,1,18,38
"2217","36-16206","M",20,"right",1,"desktop",27,1,0,7,1,10,50
"2218","36-16208","F",52,"right",1,"desktop",31,0,0,8,1,18,43
"2219","36-16211","F",65,"right",1,"desktop",29,0,0,7,1,16,57
"2220","36-16216","F",39,"right",1,"desktop",34,0,0,6,1,13,53
"2221","36-16219","F",78,"right",1,"desktop",34,0,0,3,1,20,34
"2222","36-16220","F",49,"left",1,"desktop",30,0,0,5,1,17,41
"2223","36-16221","M",55,"right",1,"desktop",35,0,3,11,1,13,31
"2224","36-16222","F",75,"right",1,"laptop",35,0,0,7,1,19,34
"2225","36-16224","F",50,"right",1,"laptop",33,0,0,8,1,19,52
